Date,open,high,low,close,adj_close,volume
2019-04-16,1345,1360,1340,1343.75,1343.75,7936553
2019-04-18,1375,1389.75,1365,1385.949951,1385.949951,17960482
2019-04-22,1360,1367,1341.300049,1345.349976,1345.349976,10792748
2019-04-23,1348,1373,1346,1363.849976,1363.849976,9055300
2019-04-24,1370.300049,1394.800049,1366.25,1389.5,1389.5,7360887
2019-04-25,1389.099976,1412.400024,1362.599976,1372.400024,1372.400024,13929820
2019-04-26,1375,1395.949951,1370.699951,1392.800049,1392.800049,6889444
2019-04-30,1396.400024,1396.400024,1366.800049,1392.800049,1392.800049,10217019
2019-05-02,1392,1413.900024,1382.099976,1405.050049,1405.050049,8682505
2019-05-03,1407.949951,1417.5,1402.650024,1408.849976,1408.849976,6510169
2019-05-06,1398,1402.800049,1378.099976,1384.900024,1384.900024,7237910
2019-05-07,1394.800049,1395,1340.199951,1343.5,1343.5,8876945
2019-05-08,1340,1340,1292.199951,1299.449951,1299.449951,14610543
2019-05-09,1288.800049,1288.800049,1251.75,1256.449951,1256.449951,19507368
2019-05-10,1265,1277.699951,1245,1251.150024,1251.150024,11226831
2019-05-13,1247.900024,1260.800049,1227.5,1232.050049,1232.050049,8047801
2019-05-14,1236.5,1269.349976,1231.5,1260.449951,1260.449951,13000566
2019-05-15,1273,1275.800049,1264.25,1274.099976,1274.099976,3245371
